CHOR;DON GIOFFRE;1
CHOR;DER PAPST;1
CHOR;DONNA SANCIA;1
CHOR;LUCREZIA;1
CHOR;FRANCESCO BORGIA, DER BISCHOF;1
CHOR;DON GIOVANNI;1
CHOR;FRANCESCO BORGIA;1
CHOR;ERSTER EDELMANN;1
CHOR;ZWEITER EDELMANN;1
CHOR;DRITTER EDELMANN;1
CHOR;EINES DER MÄDCHEN;1
CHOR;DIE KURTISANE;1
CHOR;RODRIGO BORGIA;1
CHOR;DIE MÄDCHEN;1
EINES DER MÄDCHEN;LUCREZIA;1
EINES DER MÄDCHEN;FRANCESCO BORGIA, DER BISCHOF;1
EINES DER MÄDCHEN;FRANCESCO BORGIA;1
EINES DER MÄDCHEN;ERSTER EDELMANN;1
EINES DER MÄDCHEN;ZWEITER EDELMANN;1
EINES DER MÄDCHEN;RODRIGO BORGIA;1
DIE KURTISANE;DON GIOFFRE;1
DIE KURTISANE;DONNA SANCIA;1
DIE KURTISANE;LUCREZIA;1
DIE KURTISANE;FRANCESCO BORGIA, DER BISCHOF;1
DIE KURTISANE;DON GIOVANNI;1
DIE KURTISANE;FRANCESCO BORGIA;1
DIE KURTISANE;ERSTER EDELMANN;1
DIE KURTISANE;ZWEITER EDELMANN;1
DIE KURTISANE;DRITTER EDELMANN;1
DIE KURTISANE;EINES DER MÄDCHEN;1
DIE KURTISANE;RODRIGO BORGIA;1
DIE KURTISANE;DIE MÄDCHEN;1
RODRIGO BORGIA;ZWEITER EDELMANN;1
DIE MÄDCHEN;DON GIOFFRE;1
DIE MÄDCHEN;DONNA SANCIA;1
DIE MÄDCHEN;LUCREZIA;1
DIE MÄDCHEN;FRANCESCO BORGIA, DER BISCHOF;1
DIE MÄDCHEN;DON GIOVANNI;1
DIE MÄDCHEN;FRANCESCO BORGIA;1
DIE MÄDCHEN;ERSTER EDELMANN;1
DIE MÄDCHEN;ZWEITER EDELMANN;1
DIE MÄDCHEN;DRITTER EDELMANN;1
DIE MÄDCHEN;EINES DER MÄDCHEN;1
DIE MÄDCHEN;RODRIGO BORGIA;1
ALLE DREI;GOTT VATER;1
ALLE DREI;MARIA;1
ALLE DREI;CHRISTUS;1
ALLE DREI;TEUFEL;1
ENGEL;MARIA;1
ENGEL;TEUFEL;1
ENGEL;LESENDER ENGEL;1
LESENDER ENGEL;MARIA;1
LESENDER ENGEL;TEUFEL;1
