DER SCHREIBER;EIN QUÄSTOR;1
DER SCHREIBER;INGOMAR;1
DER SCHREIBER;EGGIUS;1
DER SCHREIBER;EIN CHERUSKER;1
DER SCHREIBER;ERSTER CHERUSKER;1
DER SCHREIBER;ZWEITER CHERUSKER;1
DER SCHREIBER;EIN LEGIONÄR;1
DER SCHREIBER;EIN SOLDAT DER ZWANZIGSTEN LEGION;1
DER SCHREIBER;EINER SEINER KAMERADEN;1
DER SCHREIBER;ERSTER SOLDAT;1
DER SCHREIBER;EIN LEGAT;2
DER SCHREIBER;DEUTSCHE;1
DER SCHREIBER;DIETRICH UND RAMMSHAGEL;1
DER SCHREIBER;ERNESTE KLOPP;1
DER SCHREIBER;VIELE IM VOLK;1
DER SCHREIBER;EIN HERZOG;1
DER SCHREIBER;MANCHE DER ÜBRIGEN GROSSEN;1
DER SCHREIBER;EIN BOTE;1
THUMELICO;THUSNELDA;2
LEGIONAR;VARUS;1
LEGIONAR;ZWEITER LEGIONAR;1
LEGIONAR;QUÄSTOR;1
LEGIONAR;RÖMISCHE SOLDATEN;1
DRITTER LEGIONAR;VARUS;1
DRITTER LEGIONAR;HERMANN;1
DRITTER LEGIONAR;LEGIONAR;1
DRITTER LEGIONAR;ZWEITER LEGIONAR;1
DRITTER LEGIONAR;EIN QUÄSTOR;1
DRITTER LEGIONAR;QUÄSTOR;1
DRITTER LEGIONAR;RÖMISCHE SOLDATEN;1
EIN QUÄSTOR;EIN SOLDAT;1
EIN QUÄSTOR;VARUS;3
EIN QUÄSTOR;KNECHTE;1
EIN QUÄSTOR;EINER;1
EIN QUÄSTOR;HERMANN;3
EIN QUÄSTOR;LEGIONAR;1
EIN QUÄSTOR;ZWEITER LEGIONAR;1
EIN QUÄSTOR;QUÄSTOR;1
EIN QUÄSTOR;RÖMISCHE SOLDATEN;1
EIN QUÄSTOR;SEGEST;1
EIN QUÄSTOR;INGOMAR;2
EIN QUÄSTOR;EIN RÖMER;1
EIN QUÄSTOR;ERNESTE KLOPP;1
EIN QUÄSTOR;VIELE IM VOLK;1
EIN QUÄSTOR;MANCHE DER ÜBRIGEN GROSSEN;1
QUÄSTOR;VARUS;1
QUÄSTOR;ZWEITER LEGIONAR;1
QUÄSTOR;RÖMISCHE SOLDATEN;1
RÖMISCHE SOLDATEN;VARUS;1
RÖMISCHE SOLDATEN;ZWEITER LEGIONAR;1
EIN KNECHT;ERSTER;1
EIN KNECHT;ZWEITER;1
EIN KNECHT;THUSNELDA;1
EIN KNECHT;HERMANN;1
EIN KNECHT;THUMELICO;1
EIN KNECHT;SEGEST;1
EIN KNECHT;VIELE;1
EIN KNECHT;ERTSER;1
EIN KNECHT;EIN TENKTERER;1
SEGEST;THUSNELDA;1
SEGEST;VARUS;1
SEGEST;THUMELICO;1
DER CHATTE;VARUS;1
DER CHATTE;HERMANN;1
DER CHATTE;DER KNECHT;1
DER KNECHT;VARUS;1
DER KNECHT;HERMANN;1
DER FELDARZT;ERSTER;1
DER FELDARZT;ZWEITER;1
DER FELDARZT;THUSNELDA;1
DER FELDARZT;VARUS;1
DER FELDARZT;EINER;1
DER FELDARZT;HERMANN;1
DER FELDARZT;EIN ALTER CHERUSKER;1
DER FELDARZT;FELDARZT;1
DER FELDARZT;EIN VEXILLAR;1
DER FELDARZT;ZWEITER VEXILLAR;1
DER FELDARZT;ERSTER VEXILLAR;1
DER FELDARZT;VIELE CHERUSKER;1
DER FELDARZT;INGOMAR;1
DER FELDARZT;EIN ALTER;1
DER FELDARZT;EIN GRAUER KNECHT;1
DER FELDARZT;DIE DEUTSCHEN;1
DER FELDARZT;EGGIUS;1
DER FELDARZT;DER MARSENHÄUPLING;1
DER FELDARZT;EIN CHERUSKISCHER REITER;1
DER FELDARZT;EIN RÜCKKEHRENDER CHERUSKER;1
DER FELDARZT;INGOMARS TRABANTEN;1
DER FELDARZT;EINER DER TRABANTEN;1
DER FELDARZT;DIE TENKTERER;1
DER FELDARZT;DIE BRUKTERER;1
DER FELDARZT;DER HÄUPTLING DER BRUKTERER;1
DER FELDARZT;ERSTER BRUKTERER;1
DER FELDARZT;DRITTER;1
DER FELDARZT;EIN CHERUSKER;1
DER FELDARZT;FRITZE;1
DER FELDARZT;EINIGE IN SEINEM HEER;1
DER FELDARZT;STIMMEN;1
DER FELDARZT;GRÜTTEMEIER;1
DER FELDARZT;VIELE DEUTSCHE;1
DER FELDARZT;EINER SEINES GEFOLGS;1
FELDARZT;ZWEITER;1
FELDARZT;THUSNELDA;1
FELDARZT;VARUS;1
FELDARZT;HERMANN;1
FELDARZT;ZWEITER VEXILLAR;1
FELDARZT;VIELE CHERUSKER;1
FELDARZT;INGOMAR;1
FELDARZT;INGOMARS TRABANTEN;1
FELDARZT;FRITZE;1
FELDARZT;STIMMEN;1
FELDARZT;GRÜTTEMEIER;1
FELDARZT;VIELE DEUTSCHE;1
EIN VEXILLAR;ERSTER;1
EIN VEXILLAR;ZWEITER;1
EIN VEXILLAR;THUSNELDA;1
EIN VEXILLAR;VARUS;1
EIN VEXILLAR;EINER;1
EIN VEXILLAR;HERMANN;1
EIN VEXILLAR;FELDARZT;1
EIN VEXILLAR;ZWEITER VEXILLAR;1
EIN VEXILLAR;ERSTER VEXILLAR;1
EIN VEXILLAR;VIELE CHERUSKER;1
EIN VEXILLAR;INGOMAR;1
EIN VEXILLAR;INGOMARS TRABANTEN;1
EIN VEXILLAR;EINER DER TRABANTEN;1
EIN VEXILLAR;ERSTER BRUKTERER;1
EIN VEXILLAR;FRITZE;1
EIN VEXILLAR;EINIGE IN SEINEM HEER;1
EIN VEXILLAR;STIMMEN;1
EIN VEXILLAR;GRÜTTEMEIER;1
EIN VEXILLAR;VIELE DEUTSCHE;1
EIN VEXILLAR;EINER SEINES GEFOLGS;1
ERSTER VEXILLAR;ZWEITER;1
ERSTER VEXILLAR;THUSNELDA;1
ERSTER VEXILLAR;VARUS;1
ERSTER VEXILLAR;HERMANN;1
ERSTER VEXILLAR;FELDARZT;1
ERSTER VEXILLAR;ZWEITER VEXILLAR;1
ERSTER VEXILLAR;VIELE CHERUSKER;1
ERSTER VEXILLAR;INGOMAR;1
ERSTER VEXILLAR;INGOMARS TRABANTEN;1
ERSTER VEXILLAR;FRITZE;1
ERSTER VEXILLAR;STIMMEN;1
ERSTER VEXILLAR;GRÜTTEMEIER;1
ERSTER VEXILLAR;VIELE DEUTSCHE;1
VIELE CHERUSKER;ZWEITER;1
VIELE CHERUSKER;ZWEITER VEXILLAR;1
VIELE CHERUSKER;VIELE DEUTSCHE;1
INGOMAR;ZWEITER;1
INGOMAR;THUSNELDA;1
INGOMAR;VARUS;4
INGOMAR;KNECHTE;1
INGOMAR;SEGEST;1
INGOMAR;ZWEITER VEXILLAR;1
INGOMAR;VIELE CHERUSKER;1
INGOMAR;INGOMARS TRABANTEN;1
INGOMAR;STIMMEN;1
INGOMAR;VIELE DEUTSCHE;1
INGOMAR;WIGAND;1
INGOMAR;VIELE IM VOLK;1
INGOMAR;MANCHE DER ÜBRIGEN GROSSEN;1
EIN ALTER;ERSTER;1
EIN ALTER;ZWEITER;1
EIN ALTER;THUSNELDA;1
EIN ALTER;VARUS;1
EIN ALTER;EINER;1
EIN ALTER;HERMANN;1
EIN ALTER;EIN ALTER CHERUSKER;1
EIN ALTER;FELDARZT;1
EIN ALTER;EIN VEXILLAR;1
EIN ALTER;ZWEITER VEXILLAR;1
EIN ALTER;ERSTER VEXILLAR;1
EIN ALTER;VIELE CHERUSKER;1
EIN ALTER;INGOMAR;1
EIN ALTER;EIN GRAUER KNECHT;1
EIN ALTER;EIN CHERUSKISCHER REITER;1
EIN ALTER;EIN RÜCKKEHRENDER CHERUSKER;1
EIN ALTER;INGOMARS TRABANTEN;1
EIN ALTER;EINER DER TRABANTEN;1
EIN ALTER;ERSTER BRUKTERER;1
EIN ALTER;EIN CHERUSKER;1
EIN ALTER;FRITZE;1
EIN ALTER;EINIGE IN SEINEM HEER;1
EIN ALTER;STIMMEN;1
EIN ALTER;GRÜTTEMEIER;1
EIN ALTER;VIELE DEUTSCHE;1
EIN ALTER;EINER SEINES GEFOLGS;1
DER ALTE;ERSTER;1
DER ALTE;ZWEITER;1
DER ALTE;THUSNELDA;1
DER ALTE;VARUS;1
DER ALTE;EINER;1
DER ALTE;HERMANN;1
DER ALTE;EIN ALTER CHERUSKER;1
DER ALTE;DER FELDARZT;1
DER ALTE;FELDARZT;1
DER ALTE;EIN VEXILLAR;1
DER ALTE;ZWEITER VEXILLAR;1
DER ALTE;ERSTER VEXILLAR;1
DER ALTE;VIELE CHERUSKER;1
DER ALTE;INGOMAR;1
DER ALTE;EIN ALTER;1
DER ALTE;EIN GRAUER KNECHT;1
DER ALTE;DIE DEUTSCHEN;1
DER ALTE;EGGIUS;1
DER ALTE;DER MARSENHÄUPLING;1
DER ALTE;EIN CHERUSKISCHER REITER;1
DER ALTE;EIN RÜCKKEHRENDER CHERUSKER;1
DER ALTE;INGOMARS TRABANTEN;1
DER ALTE;EINER DER TRABANTEN;1
DER ALTE;DIE TENKTERER;1
DER ALTE;DIE BRUKTERER;1
DER ALTE;DER HÄUPTLING DER BRUKTERER;1
DER ALTE;ERSTER BRUKTERER;1
DER ALTE;DRITTER;1
DER ALTE;EIN CHERUSKER;1
DER ALTE;FRITZE;1
DER ALTE;EINIGE IN SEINEM HEER;1
DER ALTE;STIMMEN;1
DER ALTE;GRÜTTEMEIER;1
DER ALTE;VIELE DEUTSCHE;1
DER ALTE;EINER SEINES GEFOLGS;1
EIN GRAUER KNECHT;ERSTER;1
EIN GRAUER KNECHT;ZWEITER;1
EIN GRAUER KNECHT;THUSNELDA;1
EIN GRAUER KNECHT;VARUS;1
EIN GRAUER KNECHT;EINER;1
EIN GRAUER KNECHT;HERMANN;1
EIN GRAUER KNECHT;FELDARZT;1
EIN GRAUER KNECHT;EIN VEXILLAR;1
EIN GRAUER KNECHT;ZWEITER VEXILLAR;1
EIN GRAUER KNECHT;ERSTER VEXILLAR;1
EIN GRAUER KNECHT;VIELE CHERUSKER;1
EIN GRAUER KNECHT;INGOMAR;1
