Title;Number of characters;Max Degree;Average Degree;Density;Average Path Length
1758-Brawe_Joachim_Wilhelm_von-Der_Freigeist-speakers;6;4;2.33;0.47;1.67
1758-Wieland_Christoph_Martin-Lady_Johanna_Gray_oder_Der_Triumf_der_Religion-speakers;9;8;4.89;0.61;1.39
1759-Lessing_Gotthold_Ephraim-Philotas-speakers;4;3;2.0;0.67;1.33
1760-Cronegk_Johann_Friedrich_von-Der_Mißtrauische-speakers;7;6;6.0;1.0;1.0
1760-Wieland_Christoph_Martin-Klementina_von_Porretta-speakers;11;10;7.82;0.78;1.22
1762-Gessner_Salomon-Evander_und_Alcimna-speakers;14;10;3.71;0.29;1.87
1763-Hafner_Philipp-Mägera_die_förchterliche_Hexe_oder_Das_bezauberte_Schloß_des_Herrn_von_Einhorn-speakers;10;9;7.0;0.78;1.22
1764-Hafner_Philipp-Der_Furchtsame-speakers;9;8;8.0;1.0;1.0
1765-Hippel_Theodor_Gottlieb_von-Der_Mann_nach_der_Uhr_oder_der_ordentliche_Mann-speakers;6;5;5.0;1.0;1.0
1766-Weiße_Christian_Felix-Atreus_und_Thyest-speakers;5;4;3.6;0.9;1.1
1767-Klemm_Christian_Gottlob-Der_auf_den_Parnass_versetzte_grüne_Hut-speakers;7;6;6.0;1.0;1.0
1767-Kurz_Joseph_von-Prinzessin_Pumphia-speakers;13;10;5.85;0.49;1.32
1767-Lessing_Gotthold_Ephraim-Minna_von_Barnhelm_oder_Das_Soldatenglück-speakers;13;11;5.08;0.42;1.6
1767-Sturz_Helfrich_Peter-Julie-speakers;10;7;4.4;0.49;1.6
1768-Gerstenberg_Heinrich_Wilhelm_von-Ugolino-speakers;4;3;3.0;1.0;1.0
1768-Goethe_Johann_Wolfgang_von-Die_Laune_des_Verliebten-speakers;4;3;2.5;0.83;1.17
1769-Ayrenhoff_Cornelius_Hermann_von-Der_Postzug_oder_die_noblen_Passionen-speakers;11;10;7.64;0.76;1.24
1769-Klopstock_Friedrich_Gottlieb-Hermanns_Schlacht-speakers;44;42;21.18;0.49;1.51
1770-Weiße_Christian_Felix-Die_Jagd-speakers;15;12;7.73;0.55;1.49
1772-Lessing_Gotthold_Ephraim-Emilia_Galotti-speakers;13;9;4.46;0.37;1.78
1773-Goethe_Johann_Wolfgang_von-Götz_von_Berlichingen_mit_der_eisernen_Hand-speakers;70;44;7.83;0.11;2.35
1773-Goethe_Johann_Wolfgang_von-Satyros_oder_Der_vergötterte_Waldteufel-speakers;10;9;8.4;0.93;1.07
1773-Wieland_Christoph_Martin-Alceste-speakers;5;4;4.0;1.0;1.0
1774-Goethe_Johann_Wolfgang_von-Clavigo-speakers;10;9;7.6;0.84;1.16
1774-Goethe_Johann_Wolfgang_von-Götter_Helden_und_Wieland-speakers;10;9;9.0;1.0;1.0
1774-Leisewitz_Johann_Anton-Der_Besuch_um_Mitternacht-speakers;3;2;2.0;1.0;1.0
1774-Leisewitz_Johann_Anton-Die_Pfandung-speakers;2;1;1.0;1.0;1.0
1774-Lenz_Jakob_Michael_Reinhold-Der_Hofmeister_oder_Vorteile_der_Privaterziehung-speakers;24;14;5.17;0.22;1.97
1774-Lenz_Jakob_Michael_Reinhold-Der_neue_Menoza_oder_Geschichte_des_cumbanischen_Prinzen_Tandi-speakers;24;13;7.67;0.33;1.94
1775-Brandes_Johann_Christian-Ariadne_auf_Naxos-speakers;3;2;1.33;0.67;1.33
1775-Goethe_Johann_Wolfgang_von-Erwin_und_Elmire-speakers;4;3;3.0;1.0;1.0
1775-Gotter_Friedrich_Wilhelm-Der_Dorfjahrmarkt-speakers;20;16;10.3;0.54;1.52
1775-Gotter_Friedrich_Wilhelm-Medea-speakers;7;6;4.57;0.76;1.24
1775-Lenz_Jakob_Michael_Reinhold-Die_Freunde_machen_den_Philosophen-speakers;17;16;7.41;0.46;1.54
1775-Wagner_Heinrich_Leopold-Die_Reue_nach_der_That-speakers;16;15;10.38;0.69;1.31
1775-Weidmann_Paul-Johann_Faust-speakers;17;12;4.47;0.28;1.93
1776-Bodmer_Johann_Jacob-Odoardo_Galotti_Vater_der_Emilia-speakers;5;3;2.0;0.5;1.7
1776-Engel_Johann_Jakob-Eid_und_Pflicht-speakers;11;9;5.09;0.51;1.51
1776-Goethe_Johann_Wolfgang_von-Die_Mitschuldigen-speakers;4;3;3.0;1.0;1.0
1776-Goethe_Johann_Wolfgang_von-Stella-speakers;10;9;7.6;0.84;1.16
1776-Klinger_Friedrich_Maximilian-Die_Zwillinge-speakers;8;7;5.25;0.75;1.25
1776-Klinger_Friedrich_Maximilian-Die_neue_Arria-speakers;19;13;6.32;0.35;1.78
1776-Klinger_Friedrich_Maximilian-Simsone_Grisaldo-speakers;18;16;9.33;0.55;1.48
1776-Leisewitz_Johann_Anton-Julius_von_Tarent-speakers;16;9;4.13;0.28;1.99
1776-Lenz_Jakob_Michael_Reinhold-Der_Engländer-speakers;12;11;6.33;0.58;1.42
1776-Lenz_Jakob_Michael_Reinhold-Die_Soldaten-speakers;27;19;7.26;0.28;1.94
1776-Wagner_Heinrich_Leopold-Die_Kindermörderin-speakers;13;10;6.62;0.55;1.45
1777-Klinger_Friedrich_Maximilian-Sturm_und_Drang-speakers;13;11;7.69;0.64;1.4
1778-Goethe_Johann_Wolfgang_von-Der_Triumph_der_Empfindsamkeit-speakers;13;10;6.15;0.51;1.54
1778-Goethe_Johann_Wolfgang_von-Proserpina-speakers;2;1;1.0;1.0;1.0
1778-Schink_Johann_Friedrich-Hanswurst_von_Salzburg_mit_dem_hölzernen_Gat-speakers;17;11;3.29;0.21;1.73
1778-Wagner_Heinrich_Leopold-Voltaire_am_Abend_seiner_Apotheose-speakers;3;2;2.0;1.0;1.0
1779-Brandes_Johann_Christian-Ino-speakers;8;5;3.25;0.46;1.86
1779-Lessing_Gotthold_Ephraim-Nathan_der_Weise-speakers;14;9;3.86;0.3;1.93
1780-Gemmingen-Hornberg_Otto_Heinrich_von-Der_deutsche_Hausvater_oder_die_Familie-speakers;19;15;7.47;0.42;1.65
1780-Törring_Josef_August_von-Agnes_Bernauerin-speakers;26;18;8.92;0.36;1.82
1781-Auenbrugger_Johann_Leopold_von-Der_Rauchfangkehrer_oder_Die_unentbehrlichen_Verräther_ihrer_Herrschaften_aus_Eigennutz-speakers;17;16;9.29;0.58;1.42
1781-Bretzner_Christoph_Friedrich-Belmont_und_Constanze_oder_Die_Entführung_aus_dem_Serail-speakers;11;9;6.18;0.62;1.44
1781-Müller_Friedrich_(Maler_Müller)-Golo_und_Genovefa-speakers;54;40;10.96;0.21;1.98
1781-Schiller_Friedrich-Die_Räuber-speakers;25;24;16.32;0.68;1.32
1782-Schiller_Friedrich-Die_Verschwörung_des_Fiesco_zu_Genua-speakers;34;28;7.94;0.24;1.91
1782-Schink_Johann_Friedrich-Der_neue_Doktor_Faust-speakers;4;3;2.0;0.67;1.33
1782-Stephanie_Johann_Gottlieb_(der_Jüngere)-Die_Entführung_aus_dem_Serail-speakers;10;7;4.6;0.51;1.21
1784-Iffland_August_Wilhelm-Verbrechen_aus_Ehrsucht-speakers;16;13;6.12;0.41;1.64
1784-Schiller_Friedrich-Kabale_und_Liebe-speakers;15;8;5.33;0.38;1.9
1784-Schröder_Friedrich_Ludwig-Der_Vetter_in_Lissabon-speakers;12;11;6.33;0.58;1.42
1785-Iffland_August_Wilhelm-Die_Jäger-speakers;20;15;9.5;0.5;1.61
1786-Stephanie_Johann_Gottlieb_(der_Jüngere)-Der_Schauspieldirektor-speakers;10;9;8.2;0.91;1.09
1786-Stephanie_Johann_Gottlieb_(der_Jüngere)-Doktor_und_Apotheker-speakers;10;9;7.4;0.82;1.18
1787-Goethe_Johann_Wolfgang_von-Iphigenie_auf_Tauris-speakers;5;4;4.0;1.0;1.0
1787-Schiller_Friedrich-Don_Carlos_Infant_von_Spanien-speakers;25;19;8.72;0.36;1.78
1787-Stephanie_Johann_Gottlieb_(der_Jüngere)-Die_Liebe_im_Narrenhause-speakers;12;11;11.0;1.0;1.0
1788-Goethe_Johann_Wolfgang_von-Egmont-speakers;23;17;6.52;0.3;1.74
1789-Kotzebue_August_von-Die_Indianer_in_England-speakers;14;12;9.71;0.75;1.26
1790-Ayrenhoff_Cornelius_Hermann_von-Virginia_oder_das_abgeschaffte_Decemvirat-speakers;16;14;11.75;0.78;1.22
1790-Goethe_Johann_Wolfgang_von-Torquato_Tasso-speakers;5;4;4.0;1.0;1.0
1790-Iffland_August_Wilhelm-Figaro_in_Deutschland-speakers;17;16;11.29;0.71;1.29
1790-Kotzebue_August_von-Menschenhaß_und_Reue-speakers;12;11;7.0;0.64;1.36
1791-Schikaneder_Johann_Emanuel-Die_Zauberflöte-speakers;28;17;7.93;0.29;1.87
1792-Goethe_Johann_Wolfgang_von-Der_Großkophta-speakers;25;18;7.28;0.3;1.68
1793-Goethe_Johann_Wolfgang_von-Der_Bürgergeneral-speakers;7;6;5.43;0.9;1.1
1795-Zschokke_Heinrich-Abellino-speakers;17;15;9.06;0.57;1.45
1796-Iffland_August_Wilhelm-Der_Spieler-speakers;20;18;10.0;0.53;1.48
1796-Weidmann_Paul-Der_Dorfbarbier-speakers;10;9;6.8;0.76;1.24
1797-Soden_Julius_von-Doktor_Faust-speakers;42;40;6.62;0.16;1.88
1797-Tieck_Ludwig-Der_gestiefelte_Kater-speakers;45;39;16.76;0.38;1.73
1797-Tieck_Ludwig-Ritter_Blaubart-speakers;21;18;10.48;0.52;1.49
1798-Gotter_Friedrich_Wilhelm-Die_Geisterinsel-speakers;15;14;8.27;0.59;1.41
1798-Schiller_Friedrich-Wallensteins_Lager-speakers;30;28;12.4;0.43;1.62
1799-Hensler_Karl_Friedrich-Die_Teufelsmühle_am_Wienerberg-speakers;33;23;8.42;0.26;1.89
1799-Kotzebue_August_von-Der_Hyperboreische_Esel_oder_Die_heutige_Bildung-speakers;6;5;5.0;1.0;1.0
1799-Schiller_Friedrich-Die_Piccolomini-speakers;23;15;8.09;0.37;1.94
1799-Schiller_Friedrich-Wallensteins_Tod-speakers;32;20;7.25;0.23;2.06
1799-Tieck_Ludwig-Prinz_Zerbino_oder_die_Reise_nach_dem_guten_Geschmack-speakers;138;76;16.83;0.12;2.28
1800-Schiller_Friedrich-Maria_Stuart-speakers;20;12;6.1;0.32;2.15
1800-Tieck_Ludwig-Die_verkehrte_Welt-speakers;75;59;22.27;0.3;1.7
1801-Benkowitz_Karl_Friedrich-Die_Jubelfeier_der_Hölle_oder_Faust_der_jüngere-speakers;24;15;7.42;0.32;2.03
1801-Kotzebue_August_von-Die_beiden_Klingsberg-speakers;13;11;5.54;0.46;1.56
1801-Schiller_Friedrich-Die_Jungfrau_von_Orleans-speakers;46;28;7.57;0.17;2.37
1802-Iffland_August_Wilhelm-Das_Erbtheil_des_Vaters-speakers;15;14;9.47;0.68;1.32
1802-Schlegel_August_Wilhelm-Jon-speakers;5;4;3.6;0.9;1.1
1802-Schlegel_Friedrich-Alarkos-speakers;11;9;6.18;0.62;1.44
1803-Goethe_Johann_Wolfgang_von-Die_natürliche_Tochter-speakers;11;8;3.27;0.33;1.76
1803-Kleist_Heinrich_von-Die_Familie_Schroffenstein-speakers;25;21;12.24;0.51;1.51
1803-Kotzebue_August_von-Die_deutschen_Kleinstädter-speakers;13;12;8.0;0.67;1.33
1804-Brentano_Clemens-Ponce_de_Leon-speakers;26;22;9.31;0.37;1.66
1804-Schiller_Friedrich-Wilhelm_Tell-speakers;66;51;16.36;0.25;1.81
1805-Günderode_Karoline_von-Magie_und_Schicksal-speakers;9;8;7.78;0.97;1.03
1805-Günderode_Karoline_von-Nikator-speakers;7;6;5.43;0.9;1.1
1805-Günderode_Karoline_von-Udohla-speakers;7;6;6.0;1.0;1.0
1805-Sonnleithner_Joseph_Ferdinand_von-Fidelio-speakers;12;9;6.0;0.55;1.58
1807-Kleist_Heinrich_von-Amphitryon-speakers;15;14;11.6;0.83;1.17
1808-Goethe_Johann_Wolfgang-Faust._Der_Tragödie_erster_Teil-speakers;102;55;21.2;0.21;1.68
1808-Kleist_Heinrich_von-Der_zerbrochene_Krug-speakers;13;11;7.69;0.64;1.36
1808-Kleist_Heinrich_von-Die_Hermannsschlacht-speakers;72;43;10.5;0.15;2.33
1808-Kleist_Heinrich_von-Penthesilea-speakers;53;39;17.13;0.33;1.78
1809-Werner_Zacharias-Der_vierundzwanzigste_Februar-speakers;3;2;2.0;1.0;1.0
1810-Fouqué_Friedrich_de_la_Motte-Der_Held_des_Nordens-speakers;86;39;16.05;0.19;1.69
1810-Kleist_Heinrich_von-Das_Käthchen_von_Heilbronn_oder_die_Feuerprobe-speakers;49;36;9.96;0.21;1.98
1810-Kleist_Heinrich_von-Prinz_Friedrich_von_Homburg-speakers;33;24;8.79;0.27;1.77
1811-Arnim_Ludwig_Achim_von-Das_Loch_oder_Das_Wiedergefundene_Paradies-speakers;22;18;7.55;0.36;1.75
1811-Arnim_Ludwig_Achim_von-Halle-speakers;76;64;12.5;0.17;1.94
1811-Arnim_Ludwig_Achim_von-Jerusalem-speakers;75;52;14.93;0.2;1.86
1811-Weißenthurn_Johanna_von-Johann_Herzog_von_Finnland-speakers;25;20;7.04;0.29;1.85
1812-Körner_Theodor-Zriny-speakers;19;11;6.11;0.34;2.02
1813-Bäuerle_Adolf-Die_Bürger_in_Wien-speakers;19;18;13.16;0.73;1.27
1813-Meisl_Karl-Orpheus_und_Euridice_So_geht_es_im_Olymp_zu-speakers;22;18;8.91;0.42;1.68
1813-Müllner_Adolph-Die_Schuld-speakers;8;7;4.0;0.57;1.43
1813-Weißenthurn_Johanna_von-Welche_ist_die_Braut-speakers;20;18;14.0;0.74;1.27
1815-Brentano_Clemens-Die_Gründung_Prags-speakers;73;72;57.21;0.79;1.21
1815-Goethe_Johann_Wolfgang_von-Des_Epimenides_Erwachen-speakers;27;16;7.19;0.28;2.29
1815-Klingemann_August-Faust-speakers;22;20;5.55;0.26;1.78
1816-Bernard_Josef_Karl-Faust-speakers;21;16;8.1;0.4;1.68
1817-Grillparzer_Franz-Die_Ahnfrau-speakers;10;9;7.8;0.87;1.13
1817-Müllner_Adolph-König_Yngurd-speakers;35;26;12.17;0.36;1.72
1817-Weißenthurn_Johanna_von-Das_Manuscript-speakers;15;10;5.2;0.37;1.78
1818-Grillparzer_Franz-Sappho-speakers;10;8;5.2;0.58;1.44
1818-Meisl_Karl-Der_lustige_Fritz_oder_Schlafe_Träume_stehe_auf_kleide_dich_an_und_bessre_dich-speakers;30;28;7.6;0.26;1.77
1818-Uhland_Ludwig-Ernst_Herzog_von_Schwaben-speakers;22;20;13.36;0.64;1.36
1819-Bäuerle_Adolf-Doktor_Fausts_Mantel-speakers;24;20;7.42;0.32;1.74
1819-Uhland_Ludwig-Ludwig_der_Bayer-speakers;43;33;9.81;0.23;1.91
1820-Malß_Karl-Der_alte_Bürger-Capitain_oder_Die_Entführung-speakers;16;15;8.62;0.57;1.43
1821-Gleich_Joseph_Alois-Der_Eheteufel_auf_Reisen-speakers;49;23;6.49;0.14;2.46
1821-Heine_Heinrich-Almansor-speakers;38;33;16.84;0.46;1.61
1821-Kind_Johann_Friedrich-Der_Freischütz-speakers;26;23;14.23;0.57;1.46
1821-Weißenthurn_Johanna_von-Die_Schwestern_St._Janvier-speakers;21;15;9.05;0.45;1.65
1821-Weißenthurn_Johanna_von-Welcher_ist_der_Bräutigam-speakers;10;9;8.2;0.91;1.09
1823-Beer_Michael-Der_Paria-speakers;9;8;4.89;0.61;1.39
1823-Chézy_Helmina_von-Euryanthe-speakers;12;10;7.5;0.68;1.32
1823-Heine_Heinrich-William_Ratcliff-speakers;15;14;8.4;0.6;1.4
1823-Raimund_Ferdinand-Der_Barometermacher_auf_der_Zauberinsel-speakers;25;17;4.56;0.19;2.19
1823-Voß_Julius_von-Faust-speakers;62;38;6.9;0.11;2.3
1824-Raimund_Ferdinand-Der_Diamant_des_Geisterkönigs-speakers;34;20;7.35;0.22;2.07
1825-Grillparzer_Franz-König_Ottokars_Glück_und_Ende-speakers;52;51;27.54;0.54;1.46
1825-Holtei_Karl_von-Die_Kalkbrenner-speakers;8;7;5.5;0.79;1.21
1825-Raupach_Ernst-Kritik_und_Antikritik-speakers;15;11;6.13;0.44;1.67
1826-Arnim_Ludwig_Achim_von-Marino_Caboga-speakers;18;15;11.56;0.68;1.14
1826-Platen_August_von-Die_verhängnisvolle_Gabel-speakers;7;6;5.43;0.9;1.1
1826-Raimund_Ferdinand-Das_Mädchen_aus_der_Feenwelt_oder_Der_Bauer_als_Millionär-speakers;34;21;7.65;0.23;2.06
1827-Grabbe_Christian_Dietrich-Herzog_Theodor_von_Gothland-speakers;46;45;20.13;0.45;1.55
1827-Grabbe_Christian_Dietrich-Scherz_Satire_Ironie_und_tiefere_Bedeutung-speakers;23;22;13.3;0.6;1.4
1827-Raimund_Ferdinand-Moisasurs_Zauberfluch-speakers;29;17;5.52;0.2;2.32
1828-Beer_Michael-Struensee-speakers;44;16;7.68;0.18;2.59
1828-Gehe_Eduard_Heinrich-Jessonda-speakers;16;15;13.75;0.92;1.08
1828-Grillparzer_Franz-Ein_treuer_Diener_seines_Herrn-speakers;32;31;18.81;0.61;1.39
1828-Raimund_Ferdinand-Der_Alpenkönig_und_der_Menschenfeind-speakers;31;22;8.45;0.28;2.02
1828-Raimund_Ferdinand-Die_gefesselte_Phantasie-speakers;23;21;11.39;0.52;1.49
1828-Wohlbrück_Wilhelm_August-Der_Vampyr-speakers;28;20;7.43;0.28;1.94
1829-Birch-Pfeiffer_Charlotte-Pfeffer-Rösel_oder_Die_Frankfurter_Messe_im_Jahre_1297-speakers;35;27;14.29;0.42;1.72
1829-Grabbe_Christian_Dietrich-Don_Juan_und_Faust-speakers;19;16;11.05;0.61;1.42
1829-Platen_August_von-Der_romantische_Ödipus-speakers;22;16;9.64;0.46;1.27
1829-Raimund_Ferdinand-Die_unheilbringende_Zauberkrone_oder_König_ohne_Reich_Held_ohne_Mut_Schönheit_ohne_Jugend-speakers;47;30;6.72;0.15;2.35
1830-Birch-Pfeiffer_Charlotte-Die_Walpurgisnacht-speakers;25;19;4.88;0.2;2.03
1830-Eichendorff_Joseph_von-Der_letzte_Held_von_Marienburg-speakers;56;42;14.32;0.26;1.85
1831-Grabbe_Christian_Dietrich-Napoleon_oder_Die_hundert_Tage-speakers;201;74;17.49;0.09;2.71
1831-Grillparzer_Franz-Des_Meeres_und_der_Liebe_Wellen-speakers;10;9;9.0;1.0;1.0
1832-Goethe_Johann_Wolfgang_von-Faust._Der_Tragödie_zweiter_Teil-speakers;177;90;20.6;0.12;2.31
1832-Holtei_Karl_von-Ein_Trauerspiel_in_Berlin-speakers;18;15;9.11;0.54;1.49
1832-Immermann_Karl-Das_Gericht_von_St._Petersburg-speakers;38;26;10.37;0.28;2.03
1832-Immermann_Karl-Die_Bojaren-speakers;42;23;9.76;0.24;2.3
1832-Immermann_Karl-Eudoxia-speakers;12;11;6.83;0.62;1.38
1832-Immermann_Karl-Merlin-speakers;27;13;6.96;0.27;2.27
1833-Devrient_Philipp_Eduard-Hans_Heiling-speakers;15;12;8.13;0.58;1.45
1833-Eichendorff_Joseph_von-Die_Freier-speakers;11;9;7.64;0.76;1.25
1833-Nestroy_Johann-Der_böse_Geist_Lumpazivagabundus_oder_Das_liederliche_Kleeblatt-speakers;46;36;8.48;0.19;2.03
1834-Braun_von_Braunthal_Karl_Johann-Das_Nachtlager_von_Granada-speakers;9;8;6.22;0.78;1.22
1834-Grillparzer_Franz-Der_Traum_ein_Leben-speakers;16;15;10.38;0.69;1.31
1834-Raimund_Ferdinand-Der_Verschwender-speakers;39;30;8.56;0.23;1.95
1835-Bauernfeld_Eduard_von-Bürgerlich_und_Romantisch-speakers;13;10;6.31;0.53;1.54
1835-Birch-Pfeiffer_Charlotte-Johannes_Gutenberg-speakers;14;10;5.29;0.41;1.67
1835-Braun_von_Braunthal_Karl_Johann-Faust-speakers;35;23;7.54;0.22;2.19
1835-Büchner_Georg-Dantons_Tod-speakers;78;77;31.9;0.41;1.59
1835-Grabbe_Christian_Dietrich-Hannibal-speakers;106;105;36.74;0.35;1.65
1835-Immermann_Karl-Andreas_Hofer_der_Sandwirt_von_Passeyer-speakers;38;23;5.26;0.14;2.24
1835-Malß_Karl-Jungfern_Köchinnen-speakers;12;10;6.83;0.62;1.45
1835-Nestroy_Johann-Eulenspiegel_oder_Schabernack_über_Schabernack-speakers;18;14;8.11;0.48;1.56
1835-Nestroy_Johann-Zu_ebener_Erde_und_erster_Stock_oder_Die_Launen_des_Glückes-speakers;41;29;11.51;0.29;1.83
1836-Devrient_Philipp_Eduard-Die_Gunst_des_Augenblicks-speakers;8;7;4.75;0.68;1.32
1837-Lortzing_Albert_(Gustav)-Zar_und_Zimmermann-speakers;19;18;9.79;0.54;1.46
1837-Nestroy_Johann-Das_Haus_der_Temperamente-speakers;38;30;19.05;0.51;1.53
1838-Büchner_Georg-Leonce_und_Lena-speakers;21;16;8.38;0.42;1.46
1838-Grillparzer_Franz-Weh_dem_der_lügt-speakers;17;16;10.59;0.66;1.34
1839-Gutzkow_Karl-Richard_Savage_oder_Der_Sohn_einer_Mutter-speakers;26;20;8.15;0.33;1.91
1840-Droste-Hülshoff_Annette_von-Perdu_oder_Dichter_Verleger_und_Blaustrümpfe-speakers;10;8;5.8;0.64;1.4
1840-Hebbel_Friedrich-Judith-speakers;50;46;23.76;0.48;1.52
1841-Laube_Heinrich-Monaldeschi-speakers;11;10;7.27;0.73;1.27
1841-Nestroy_Johann-Das_Mädl_aus_der_Vorstadt_oder_Ehrlich_währt_am_längsten-speakers;14;12;7.86;0.6;1.48
1841-Niebergall_Ernst_Elias-Datterich-speakers;21;20;7.14;0.36;1.64
1842-Bauernfeld_Eduard_von-Industrie_und_Herz-speakers;12;9;4.17;0.38;1.77
1842-Halm_Friedrich-Der_Sohn_der_Wildnis-speakers;18;17;10.56;0.62;1.38
1842-Kotzebue_August_von-Der_Wildschütz_oder_Die_Stimme_der_Natur-speakers;17;13;8.35;0.52;1.57
1842-Nestroy_Johann-Einen_Jux_will_er_sich_machen-speakers;21;18;8.76;0.44;1.6
1843-Eichendorff_Joseph_von-Das_Incognito_oder_Die_mehreren_Könige_oder_Alt_und_Neu-speakers;56;40;17.54;0.32;1.9
1843-Hebbel_Friedrich-Genoveva-speakers;19;17;7.89;0.44;1.56
1843-Nestroy_Johann-Der_Talisman-speakers;23;16;7.39;0.34;1.96
1843-Wagner_Richard-Der_fliegende_Holländer-speakers;11;10;7.82;0.78;1.22
1844-Gutzkow_Karl-Zopf_und_Schwert-speakers;23;15;7.39;0.34;1.83
1844-Hebbel_Friedrich-Maria_Magdalene-speakers;11;10;5.64;0.56;1.44
1844-Kaiser_Friedrich-Stadt_und_Land_oder_Der_Viehhändler_aus_Oberösterreich-speakers;18;17;10.78;0.63;1.37
1844-Laube_Heinrich-Struensee-speakers;8;7;7.0;1.0;1.0
1844-Nestroy_Johann-Der_Zerrissene-speakers;17;13;7.29;0.46;1.68
1845-Laube_Heinrich-Gottsched_und_Gellert-speakers;14;13;12.14;0.93;1.07
1845-Prutz_Robert_Eduard-Die_politische_Wochenstube-speakers;24;23;15.5;0.67;1.33
1845-Wagner_Richard-Tannhäuser_und_Der_Sängerkrieg_auf_Wartburg-speakers;16;15;8.87;0.59;1.41
1846-Bauernfeld_Eduard_von-Großjährig-speakers;7;6;4.86;0.81;1.19
1846-Gutzkow_Karl-Das_Urbild_des_Tartüffe-speakers;17;13;7.65;0.48;1.58
1846-Gutzkow_Karl-Uriel_Acosta-speakers;14;13;5.71;0.44;1.56
1846-Laube_Heinrich-Die_Karlsschüler-speakers;14;13;10.86;0.84;1.16
1846-Lortzing_Albert_(Gustav)-Der_Waffenschmied-speakers;11;10;8.91;0.89;1.11
1846-Nestroy_Johann-Der_Unbedeutende-speakers;38;31;17.95;0.49;1.65
1846-Simrock_Karl-Doctor_Johannes_Faust-speakers;26;20;9.77;0.39;1.68
1847-Hebbel_Friedrich-Der_Diamant-speakers;23;12;6.43;0.29;1.33
1847-Hebbel_Friedrich-Trauerspiel_in_Sizilien-speakers;9;8;5.56;0.69;1.31
1847-Kaiser_Friedrich-Die_Schule_des_Armen_oder_Zwei_Millionen-speakers;31;29;8.52;0.28;1.75
1847-Kobell_Franz_von-Der_Roaga-speakers;4;3;3.0;1.0;1.0
