Title;Number of characters;Max Degree;Average Degree;Density;Average Path Length
1616_Shakespeare,_William_-_Romeo_und_Julia;42;36;14.0;0.34;1.69
1616_Shakespeare,_William_-_Timon_von_Athen;65;53;12.98;0.2;2.0
1616_Shakespeare,_William_-_Titus_Andronicus;27;23;12.81;0.49;1.52
1616_Shakespeare,_William_-_Troilus_und_Cressida;30;21;11.0;0.38;1.71
1616_Shakespeare,_William_-_Viel_Lärmen_um_nichts;24;18;11.92;0.52;1.55
1616_Shakespeare,_William_-_Was_ihr_wollt;21;20;11.43;0.57;1.43
1616_Shakespeare,_William_-_Wie_es_euch_gefällt;29;17;7.1;0.25;1.81
1620_Anonym_-_Ein_ander_lustig_Pickelherings_Spiel;4;3;3.0;1.0;1.0
1630_Rist,_Johann_-_Irenaromachia;15;8;6.8;0.49;1.0
1634_Rist,_Johann_-_Perseus;18;14;7.44;0.44;1.62
1635_Opitz,_Martin_-_Judith;23;14;4.43;0.2;2.21
1636_Calderón_de_la_Barca,_Pedro_-_Das_Leben_ein_Traum;17;15;7.53;0.47;1.54
1637_Calderón_de_la_Barca,_Pedro_-_Der_wundertätige_Magus;20;19;16.8;0.88;1.12
1637_Corneille,_Pierre_-_Der_Cid;13;7;4.15;0.35;1.87
1646_Gryphius,_Andreas_-_Leo_Armenius;22;9;4.0;0.19;2.13
1647_Gryphius,_Andreas_-_Absurda_Comica._Oder_Herr_Peter_Squenz;18;17;14.0;0.82;1.18
1647_Gryphius,_Andreas_-_Catharina_von_Georgien;27;23;13.56;0.52;1.52
1647_Gryphius,_Andreas_-_Horribilicribrifax;33;27;16.0;0.5;1.32
1647_Rist,_Johann_-_Das_Friedejauchtzende_Teutschland;34;20;8.41;0.25;1.97
1647_Rist,_Johann_-_Das_Friedewünschende_Teutschland;30;25;7.27;0.25;1.87
1649_Gryphius,_Andreas_-_Carolus_Stuardus;39;36;13.64;0.36;1.6
1649_Lohenstein,_Daniel_Casper_von_-_Ibrahim;12;11;7.33;0.67;1.33
1650_Gryphius,_Andreas_-_Cardenio_und_Celinde;16;13;7.25;0.48;1.57
1650_Klaj,_Johann_-_Geburt_Christi;11;4;2.18;0.22;1.25
1655_Lohenstein,_Daniel_Casper_von_-_Cleopatra;61;60;26.66;0.44;1.56
1659_Gryphius,_Andreas_-_Papinianus;37;33;16.16;0.45;1.47
