;closeness;central_character_rank;weighted_centralities_rank;degree;betweenness
DIE OFFIZIERE DER GARDE;0.44669767441860464;78.5;{'closeness': 19, 'degree': 47, 'betweenness': 102};25;0.0
DER SCHÜTZENHAUPTMANN;0.32336700336700336;108.0;{'closeness': 144, 'degree': 95, 'betweenness': 103};16;0.0
DROUOT;0.44669767441860464;80.16666666666667;{'closeness': 20, 'degree': 48, 'betweenness': 104};25;0.0
DER ALTE HANNOVERSCHE SCHARFSCHÜTZ;0.32336700336700336;116.16666666666666;{'closeness': 145, 'degree': 96, 'betweenness': 105};16;0.0
DER EMIGRANT;0.4139655172413793;90.16666666666667;{'closeness': 46, 'degree': 29, 'betweenness': 106};26;0.0
HORTENSE;0.4069491525423729;27.833333333333332;{'closeness': 55, 'degree': 57, 'betweenness': 13};22;0.03249738514825084
LOUISE;0.3672657743785851;118.0;{'closeness': 102, 'degree': 177, 'betweenness': 108};7;0.0
FRAU DES SCHNEIDERMEISTERS;0.4139655172413793;85.0;{'closeness': 47, 'degree': 30, 'betweenness': 109};26;0.0
HERZOG VON ORLEANS;0.3888259109311741;148.33333333333334;{'closeness': 73, 'degree': 74, 'betweenness': 185};18;0.0
MARKETENDERIN;0.3524403669724771;135.5;{'closeness': 118, 'degree': 114, 'betweenness': 110};12;0.0
HERZOG VON BRAUNSCHWEIG;0.28711509715994016;125.83333333333333;{'closeness': 189, 'degree': 128, 'betweenness': 111};11;0.0
OFFIZIER (2. Akt);0.3758904109589041;116.33333333333334;{'closeness': 84, 'degree': 172, 'betweenness': 112};8;0.0
GRAF BLACAS D'AULPS;0.2914719271623672;75.83333333333334;{'closeness': 181, 'degree': 149, 'betweenness': 41};10;3.350083752093802e-05
SERGEANT;0.46396135265700483;21.666666666666668;{'closeness': 9, 'degree': 9, 'betweenness': 4};41;0.14472361809045226
EINE ANDERE DAME DER HALLE;0.4166594360086768;28.166666666666664;{'closeness': 39, 'degree': 20, 'betweenness': 23};29;0.014472361809045226
PÄCHTER LACOSTE;0.3686756238003839;103.5;{'closeness': 94, 'degree': 80, 'betweenness': 114};17;0.0
EIN BÜRGER;0.3904065040650406;41.5;{'closeness': 59, 'degree': 81, 'betweenness': 19};17;0.01591374195373814
AUSRUFER EINER BILDERGALERIE;0.3888259109311741;98.66666666666666;{'closeness': 70, 'degree': 71, 'betweenness': 115};18;0.0
ZWEITER ADJUTANT (4. AKT);0.44669767441860464;87.5;{'closeness': 21, 'degree': 49, 'betweenness': 116};25;0.0
EIN OFFIZIER DER GARDEGRENADIERE ZU PFERDE;0.3686756238003839;106.0;{'closeness': 95, 'degree': 82, 'betweenness': 117};17;0.0
KURIER;0.29103030303030303;177.33333333333331;{'closeness': 185, 'degree': 164, 'betweenness': 178};9;0.0
GNEISENAU;0.3904065040650406;28.666666666666668;{'closeness': 60, 'degree': 59, 'betweenness': 17};20;0.020574316133745083
LORD SOMERSET;0.3498724954462659;125.0;{'closeness': 126, 'degree': 157, 'betweenness': 119};9;0.0
DIE SCHREIBENDEN;0.3758904109589041;82.16666666666666;{'closeness': 85, 'degree': 129, 'betweenness': 120};11;0.0
EIN FUSSGARDIST;0.44669767441860464;37.83333333333333;{'closeness': 13, 'degree': 41, 'betweenness': 44};25;0.0
ERSTER PREUSSISCHER ADJUTANT;0.28711509715994016;133.16666666666669;{'closeness': 190, 'degree': 130, 'betweenness': 122};11;0.0
DER ADJUTANT;0.32336700336700336;121.83333333333334;{'closeness': 147, 'degree': 98, 'betweenness': 123};16;0.0
OBERZEREMONIENMEISTER;0.2914719271623672;76.16666666666666;{'closeness': 179, 'degree': 146, 'betweenness': 39};10;3.350083752093802e-05
